moth_id,date,timestamp,position_x,position_y,length_mm,width_mm,area_mm2,species,source_image
29,2024-12-12,2024-12-12 15:49:03.129655,2305,1309,21.89,10.84,237.3,,15-49-03.jpg
30,2024-12-12,2024-12-12 15:49:03.129655,1367,2085,34.92,12.81,447.2,,15-49-03.jpg
31,2024-12-12,2024-12-12 15:49:03.129655,1003,1112,14.53,5.43,78.89,,15-49-03.jpg
32,2024-12-12,2024-12-12 15:49:03.129655,2466,3413,9.35,4.24,39.61,,15-49-03.jpg
33,2024-12-12,2024-12-12 15:49:03.129655,1926,2016,12.03,4.09,49.17,,15-49-03.jpg
34,2024-12-12,2024-12-12 15:49:03.129655,1095,3500,21.91,13.04,285.69,,15-49-03.jpg
35,2024-12-12,2024-12-12 15:49:03.129655,2210,1482,10.21,3.76,38.37,,15-49-03.jpg
36,2024-12-12,2024-12-12 15:49:03.129655,2069,1882,13.24,37.16,491.94,unknown,15-49-03.jpg
37,2024-12-12,2024-12-12 15:49:03.129655,2689,3943,7.86,16.41,129.01,,15-49-03.jpg
38,2024-12-12,2024-12-12 15:49:03.129655,3590,3776,7.1,17.87,126.87,,15-49-03.jpg
39,2024-12-12,2024-12-12 15:49:03.129655,1492,2443,11.21,7.31,81.92,,15-49-03.jpg
40,2024-12-12,2024-12-12 15:49:03.129655,1705,1111,8.41,18.96,159.48,,15-49-03.jpg
41,2024-12-12,2024-12-12 15:49:03.129655,1546,1883,20.1,10.11,203.31,,15-49-03.jpg
42,2024-12-12,2024-12-12 15:49:03.129655,1183,2456,21.12,7.43,156.99,,15-49-03.jpg
1,2024-12-13,2024-12-13 08:00:34.797128,1993,2838,11.27,3.91,44.05,,08-00-34.jpg
2,2024-12-13,2024-12-13 08:00:34.797128,2824,2399,29.52,19.05,562.36,,08-00-34.jpg
3,2024-12-13,2024-12-13 08:00:34.797128,1161,1576,16.22,27.95,453.29,,08-00-34.jpg
4,2024-12-13,2024-12-13 08:00:34.797128,2741,2363,11.33,4.35,49.27,,08-00-34.jpg
5,2024-12-13,2024-12-13 08:00:34.797128,1317,1751,18.45,6.9,127.29,,08-00-34.jpg
6,2024-12-13,2024-12-13 08:00:34.797128,2124,1900,10.3,5.81,59.89,,08-00-34.jpg
7,2024-12-13,2024-12-13 08:00:34.797128,3709,1981,3.35,8.91,29.87,,08-00-34.jpg
8,2024-12-13,2024-12-13 08:00:34.797128,1349,3754,13.33,5.73,76.36,,08-00-34.jpg
9,2024-12-13,2024-12-13 08:00:34.797128,2765,1858,20.52,11.25,230.84,,08-00-34.jpg
10,2024-12-13,2024-12-13 08:00:34.797128,2877,2845,9.52,3.74,35.6,,08-00-34.jpg
11,2024-12-13,2024-12-13 08:00:34.797128,2916,1057,41.25,19.88,819.99,unknown,08-00-34.jpg
12,2024-12-13,2024-12-13 08:00:34.797128,1402,1425,13.51,4.59,62.0,,08-00-34.jpg
13,2024-12-13,2024-12-13 08:00:34.797128,2879,2993,13.48,21.71,292.55,,08-00-34.jpg
14,2024-12-13,2024-12-13 08:00:34.797128,3953,1754,3.23,8.03,25.93,,08-00-34.jpg
15,2024-12-13,2024-12-13 08:00:34.797128,1951,3545,12.82,36.27,464.83,unknown,08-00-34.jpg
16,2024-12-13,2024-12-13 08:00:34.797128,1286,3426,8.78,3.3,28.97,,08-00-34.jpg
17,2024-12-13,2024-12-13 08:00:34.797128,3712,3485,15.82,28.32,447.91,,08-00-34.jpg
18,2024-12-13,2024-12-13 08:00:34.797128,3103,1317,12.58,6.73,84.71,,08-00-34.jpg
19,2024-12-13,2024-12-13 08:00:34.797128,3247,1150,14.96,5.14,76.95,,08-00-34.jpg
20,2024-12-13,2024-12-13 08:00:34.797128,3669,2912,7.74,23.06,178.41,,08-00-34.jpg
21,2024-12-13,2024-12-13 08:00:34.797128,1441,2060,60.93,29.58,1802.36,unknown,08-00-34.jpg
22,2024-12-13,2024-12-13 08:00:34.797128,3421,1333,16.54,8.02,132.71,,08-00-34.jpg
1,2024-12-13,2024-12-13 15:49:04.778902,1095,3356,5.4,13.31,71.86,,15-49-04.jpg
